2021-05-10 08:33:10,919 - Epoch: 1000	MRR: 0.065	Hits@10: 0.168	Hits@5: 0.091	Hits@1: 0.017
2021-05-10 08:34:47,030 - Epoch: 2000	MRR: 0.121	Hits@10: 0.242	Hits@5: 0.155	Hits@1: 0.070
2021-05-10 08:36:23,109 - Epoch: 3000	MRR: 0.144	Hits@10: 0.291	Hits@5: 0.197	Hits@1: 0.083
2021-05-10 08:37:59,092 - Epoch: 4000	MRR: 0.163	Hits@10: 0.293	Hits@5: 0.221	Hits@1: 0.091
2021-05-10 08:39:35,532 - Epoch: 5000	MRR: 0.155	Hits@10: 0.274	Hits@5: 0.225	Hits@1: 0.079
2021-05-10 08:41:11,272 - Epoch: 6000	MRR: 0.180	Hits@10: 0.293	Hits@5: 0.221	Hits@1: 0.119
2021-05-10 08:42:48,129 - Epoch: 7000	MRR: 0.182	Hits@10: 0.291	Hits@5: 0.240	Hits@1: 0.119
2021-05-10 08:44:24,421 - Epoch: 8000	MRR: 0.185	Hits@10: 0.282	Hits@5: 0.231	Hits@1: 0.132
2021-05-10 08:46:01,101 - Epoch: 9000	MRR: 0.191	Hits@10: 0.265	Hits@5: 0.221	Hits@1: 0.146
2021-05-10 08:47:37,747 - Epoch: 10000	MRR: 0.202	Hits@10: 0.272	Hits@5: 0.227	Hits@1: 0.157
2021-05-10 08:49:14,313 - Epoch: 11000	MRR: 0.207	Hits@10: 0.285	Hits@5: 0.251	Hits@1: 0.163
2021-05-10 08:50:51,742 - Epoch: 12000	MRR: 0.206	Hits@10: 0.272	Hits@5: 0.231	Hits@1: 0.163
2021-05-10 08:52:27,660 - Epoch: 13000	MRR: 0.212	Hits@10: 0.276	Hits@5: 0.246	Hits@1: 0.172
2021-05-10 08:54:04,648 - Epoch: 14000	MRR: 0.222	Hits@10: 0.293	Hits@5: 0.242	Hits@1: 0.185
2021-05-10 08:55:41,165 - Epoch: 15000	MRR: 0.219	Hits@10: 0.291	Hits@5: 0.236	Hits@1: 0.183
2021-05-10 08:57:17,516 - Epoch: 16000	MRR: 0.208	Hits@10: 0.268	Hits@5: 0.231	Hits@1: 0.170
2021-05-10 08:58:54,217 - Epoch: 17000	MRR: 0.216	Hits@10: 0.278	Hits@5: 0.251	Hits@1: 0.176
2021-05-10 09:00:30,524 - Epoch: 18000	MRR: 0.203	Hits@10: 0.263	Hits@5: 0.234	Hits@1: 0.161
2021-05-10 09:02:07,052 - Epoch: 19000	MRR: 0.209	Hits@10: 0.261	Hits@5: 0.234	Hits@1: 0.172
2021-05-10 09:03:43,490 - Epoch: 20000	MRR: 0.213	Hits@10: 0.263	Hits@5: 0.244	Hits@1: 0.172
2021-05-10 09:05:19,698 - Epoch: 21000	MRR: 0.208	Hits@10: 0.285	Hits@5: 0.229	Hits@1: 0.168
2021-05-10 09:06:56,021 - Epoch: 22000	MRR: 0.199	Hits@10: 0.263	Hits@5: 0.227	Hits@1: 0.161
2021-05-10 09:08:31,867 - Epoch: 23000	MRR: 0.210	Hits@10: 0.274	Hits@5: 0.229	Hits@1: 0.174
2021-05-10 09:10:07,625 - Epoch: 24000	MRR: 0.222	Hits@10: 0.270	Hits@5: 0.242	Hits@1: 0.187
2021-05-10 09:11:44,205 - Epoch: 25000	MRR: 0.213	Hits@10: 0.274	Hits@5: 0.238	Hits@1: 0.174
2021-05-10 09:13:20,542 - Epoch: 26000	MRR: 0.208	Hits@10: 0.268	Hits@5: 0.240	Hits@1: 0.168
2021-05-10 09:14:56,583 - Epoch: 27000	MRR: 0.220	Hits@10: 0.282	Hits@5: 0.251	Hits@1: 0.178
2021-05-10 09:16:32,591 - Epoch: 28000	MRR: 0.216	Hits@10: 0.274	Hits@5: 0.242	Hits@1: 0.178
2021-05-10 09:18:08,347 - Epoch: 29000	MRR: 0.215	Hits@10: 0.272	Hits@5: 0.236	Hits@1: 0.176
2021-05-10 09:19:44,337 - Epoch: 30000	MRR: 0.208	Hits@10: 0.272	Hits@5: 0.240	Hits@1: 0.163
2021-05-10 09:21:20,191 - Epoch: 31000	MRR: 0.203	Hits@10: 0.263	Hits@5: 0.231	Hits@1: 0.161
2021-05-10 09:22:56,427 - Epoch: 32000	MRR: 0.203	Hits@10: 0.268	Hits@5: 0.234	Hits@1: 0.159
2021-05-10 09:24:32,787 - Epoch: 33000	MRR: 0.201	Hits@10: 0.263	Hits@5: 0.229	Hits@1: 0.157
2021-05-10 09:26:08,893 - Epoch: 34000	MRR: 0.196	Hits@10: 0.263	Hits@5: 0.223	Hits@1: 0.153
2021-05-10 09:27:44,752 - Epoch: 35000	MRR: 0.207	Hits@10: 0.268	Hits@5: 0.238	Hits@1: 0.166
2021-05-10 09:29:20,601 - Epoch: 36000	MRR: 0.201	Hits@10: 0.255	Hits@5: 0.234	Hits@1: 0.159
2021-05-10 09:30:59,905 - Epoch: 37000	MRR: 0.203	Hits@10: 0.265	Hits@5: 0.240	Hits@1: 0.159
2021-05-10 09:33:31,831 - Epoch: 38000	MRR: 0.199	Hits@10: 0.248	Hits@5: 0.229	Hits@1: 0.153
2021-05-10 09:36:09,214 - Epoch: 39000	MRR: 0.203	Hits@10: 0.263	Hits@5: 0.234	Hits@1: 0.157
2021-05-10 09:38:47,919 - Epoch: 40000	MRR: 0.208	Hits@10: 0.276	Hits@5: 0.246	Hits@1: 0.163
2021-05-10 09:41:28,281 - Epoch: 41000	MRR: 0.204	Hits@10: 0.272	Hits@5: 0.242	Hits@1: 0.157
2021-05-10 09:44:07,729 - Epoch: 42000	MRR: 0.202	Hits@10: 0.263	Hits@5: 0.229	Hits@1: 0.157
2021-05-10 09:46:32,915 - Epoch: 43000	MRR: 0.199	Hits@10: 0.270	Hits@5: 0.231	Hits@1: 0.153
