2021-06-06 08:57:05,441 - Epoch: 1000	MRR: 0.107	Hits@10: 0.140	Hits@5: 0.115	Hits@1: 0.079
2021-06-06 08:58:34,134 - Epoch: 2000	MRR: 0.137	Hits@10: 0.217	Hits@5: 0.180	Hits@1: 0.091
2021-06-06 09:00:04,322 - Epoch: 3000	MRR: 0.153	Hits@10: 0.289	Hits@5: 0.202	Hits@1: 0.102
2021-06-06 09:01:35,663 - Epoch: 4000	MRR: 0.157	Hits@10: 0.282	Hits@5: 0.240	Hits@1: 0.098
2021-06-06 09:03:05,818 - Epoch: 5000	MRR: 0.199	Hits@10: 0.306	Hits@5: 0.257	Hits@1: 0.142
2021-06-06 09:04:35,787 - Epoch: 6000	MRR: 0.195	Hits@10: 0.293	Hits@5: 0.253	Hits@1: 0.134
2021-06-06 09:06:05,232 - Epoch: 7000	MRR: 0.203	Hits@10: 0.306	Hits@5: 0.272	Hits@1: 0.134
2021-06-06 09:07:34,819 - Epoch: 8000	MRR: 0.212	Hits@10: 0.291	Hits@5: 0.270	Hits@1: 0.153
2021-06-06 09:09:05,555 - Epoch: 9000	MRR: 0.207	Hits@10: 0.289	Hits@5: 0.255	Hits@1: 0.155
2021-06-06 09:10:36,492 - Epoch: 10000	MRR: 0.216	Hits@10: 0.293	Hits@5: 0.253	Hits@1: 0.172
2021-06-06 09:12:05,709 - Epoch: 11000	MRR: 0.226	Hits@10: 0.295	Hits@5: 0.255	Hits@1: 0.183
2021-06-06 09:13:36,556 - Epoch: 12000	MRR: 0.220	Hits@10: 0.308	Hits@5: 0.263	Hits@1: 0.168
2021-06-06 09:15:06,354 - Epoch: 13000	MRR: 0.193	Hits@10: 0.276	Hits@5: 0.251	Hits@1: 0.136
2021-06-06 09:16:35,971 - Epoch: 14000	MRR: 0.223	Hits@10: 0.282	Hits@5: 0.257	Hits@1: 0.185
2021-06-06 09:18:05,525 - Epoch: 15000	MRR: 0.217	Hits@10: 0.282	Hits@5: 0.251	Hits@1: 0.178
2021-06-06 09:19:35,076 - Epoch: 16000	MRR: 0.217	Hits@10: 0.293	Hits@5: 0.272	Hits@1: 0.170
2021-06-06 09:21:03,983 - Epoch: 17000	MRR: 0.194	Hits@10: 0.289	Hits@5: 0.255	Hits@1: 0.130
2021-06-06 09:22:33,800 - Epoch: 18000	MRR: 0.214	Hits@10: 0.289	Hits@5: 0.261	Hits@1: 0.168
2021-06-06 09:24:03,227 - Epoch: 19000	MRR: 0.212	Hits@10: 0.278	Hits@5: 0.259	Hits@1: 0.170
2021-06-06 09:25:32,423 - Epoch: 20000	MRR: 0.219	Hits@10: 0.289	Hits@5: 0.259	Hits@1: 0.178
2021-06-06 09:27:02,800 - Epoch: 21000	MRR: 0.219	Hits@10: 0.289	Hits@5: 0.255	Hits@1: 0.176
2021-06-06 09:28:31,964 - Epoch: 22000	MRR: 0.218	Hits@10: 0.278	Hits@5: 0.259	Hits@1: 0.176
2021-06-06 09:30:02,163 - Epoch: 23000	MRR: 0.213	Hits@10: 0.276	Hits@5: 0.261	Hits@1: 0.168
2021-06-06 09:31:32,114 - Epoch: 24000	MRR: 0.223	Hits@10: 0.289	Hits@5: 0.259	Hits@1: 0.180
2021-06-06 09:33:00,758 - Epoch: 25000	MRR: 0.219	Hits@10: 0.282	Hits@5: 0.248	Hits@1: 0.174
2021-06-06 09:34:30,333 - Epoch: 26000	MRR: 0.229	Hits@10: 0.289	Hits@5: 0.265	Hits@1: 0.185
2021-06-06 09:36:00,730 - Epoch: 27000	MRR: 0.219	Hits@10: 0.291	Hits@5: 0.255	Hits@1: 0.172
2021-06-06 09:37:29,977 - Epoch: 28000	MRR: 0.225	Hits@10: 0.297	Hits@5: 0.253	Hits@1: 0.180
2021-06-06 09:38:59,797 - Epoch: 29000	MRR: 0.221	Hits@10: 0.285	Hits@5: 0.253	Hits@1: 0.183
2021-06-06 09:40:30,570 - Epoch: 30000	MRR: 0.223	Hits@10: 0.293	Hits@5: 0.261	Hits@1: 0.180
2021-06-06 09:42:00,355 - Epoch: 31000	MRR: 0.232	Hits@10: 0.291	Hits@5: 0.268	Hits@1: 0.195
2021-06-06 09:43:31,229 - Epoch: 32000	MRR: 0.235	Hits@10: 0.293	Hits@5: 0.280	Hits@1: 0.193
2021-06-06 09:45:01,951 - Epoch: 33000	MRR: 0.229	Hits@10: 0.299	Hits@5: 0.268	Hits@1: 0.185
2021-06-06 09:46:31,186 - Epoch: 34000	MRR: 0.222	Hits@10: 0.289	Hits@5: 0.255	Hits@1: 0.180
2021-06-06 09:48:01,135 - Epoch: 35000	MRR: 0.236	Hits@10: 0.291	Hits@5: 0.272	Hits@1: 0.193
2021-06-06 09:49:31,420 - Epoch: 36000	MRR: 0.238	Hits@10: 0.312	Hits@5: 0.280	Hits@1: 0.193
2021-06-06 09:51:01,060 - Epoch: 37000	MRR: 0.218	Hits@10: 0.293	Hits@5: 0.255	Hits@1: 0.176
2021-06-06 09:52:31,583 - Epoch: 38000	MRR: 0.227	Hits@10: 0.301	Hits@5: 0.255	Hits@1: 0.189
2021-06-06 09:54:02,542 - Epoch: 39000	MRR: 0.234	Hits@10: 0.316	Hits@5: 0.276	Hits@1: 0.193
2021-06-06 09:55:31,838 - Epoch: 40000	MRR: 0.229	Hits@10: 0.299	Hits@5: 0.257	Hits@1: 0.189
2021-06-06 09:57:01,647 - Epoch: 41000	MRR: 0.223	Hits@10: 0.287	Hits@5: 0.255	Hits@1: 0.178
2021-06-06 09:58:31,407 - Epoch: 42000	MRR: 0.228	Hits@10: 0.308	Hits@5: 0.263	Hits@1: 0.185
2021-06-06 10:00:00,567 - Epoch: 43000	MRR: 0.229	Hits@10: 0.293	Hits@5: 0.263	Hits@1: 0.187
2021-06-06 10:01:30,938 - Epoch: 44000	MRR: 0.222	Hits@10: 0.291	Hits@5: 0.261	Hits@1: 0.180
2021-06-06 10:03:00,613 - Epoch: 45000	MRR: 0.212	Hits@10: 0.287	Hits@5: 0.255	Hits@1: 0.166
2021-06-06 10:04:30,340 - Epoch: 46000	MRR: 0.220	Hits@10: 0.306	Hits@5: 0.261	Hits@1: 0.172
2021-06-06 10:06:00,119 - Epoch: 47000	MRR: 0.214	Hits@10: 0.301	Hits@5: 0.251	Hits@1: 0.170
2021-06-06 10:07:29,957 - Epoch: 48000	MRR: 0.200	Hits@10: 0.301	Hits@5: 0.261	Hits@1: 0.140
