2021-05-04 07:43:59,037 - Epoch: 1000	MRR: 0.044	Hits@10: 0.075	Hits@5: 0.060	Hits@1: 0.018
2021-05-04 07:57:17,600 - Epoch: 2000	MRR: 0.056	Hits@10: 0.100	Hits@5: 0.079	Hits@1: 0.019
2021-05-04 08:10:37,417 - Epoch: 3000	MRR: 0.078	Hits@10: 0.125	Hits@5: 0.091	Hits@1: 0.048
2021-05-04 08:23:57,883 - Epoch: 4000	MRR: 0.078	Hits@10: 0.123	Hits@5: 0.093	Hits@1: 0.049
2021-05-04 08:37:19,105 - Epoch: 5000	MRR: 0.080	Hits@10: 0.126	Hits@5: 0.093	Hits@1: 0.048
2021-05-04 08:50:39,489 - Epoch: 6000	MRR: 0.078	Hits@10: 0.127	Hits@5: 0.090	Hits@1: 0.047
2021-05-04 09:04:01,812 - Epoch: 7000	MRR: 0.076	Hits@10: 0.128	Hits@5: 0.095	Hits@1: 0.045
2021-05-04 09:17:24,738 - Epoch: 8000	MRR: 0.081	Hits@10: 0.137	Hits@5: 0.101	Hits@1: 0.050
2021-05-04 09:30:40,842 - Epoch: 9000	MRR: 0.084	Hits@10: 0.129	Hits@5: 0.100	Hits@1: 0.052
2021-05-04 09:44:00,922 - Epoch: 10000	MRR: 0.086	Hits@10: 0.135	Hits@5: 0.103	Hits@1: 0.054
2021-05-04 09:57:17,510 - Epoch: 11000	MRR: 0.082	Hits@10: 0.131	Hits@5: 0.101	Hits@1: 0.051
2021-05-04 10:10:26,631 - Epoch: 12000	MRR: 0.086	Hits@10: 0.135	Hits@5: 0.106	Hits@1: 0.053
2021-05-04 10:23:39,286 - Epoch: 13000	MRR: 0.084	Hits@10: 0.132	Hits@5: 0.109	Hits@1: 0.050
2021-05-04 10:36:51,828 - Epoch: 14000	MRR: 0.082	Hits@10: 0.133	Hits@5: 0.106	Hits@1: 0.048
2021-05-04 10:50:13,768 - Epoch: 15000	MRR: 0.082	Hits@10: 0.132	Hits@5: 0.109	Hits@1: 0.046
2021-05-04 11:03:28,658 - Epoch: 16000	MRR: 0.079	Hits@10: 0.130	Hits@5: 0.108	Hits@1: 0.045
2021-05-04 11:16:45,198 - Epoch: 17000	MRR: 0.086	Hits@10: 0.133	Hits@5: 0.108	Hits@1: 0.052
2021-05-04 11:30:19,003 - Epoch: 18000	MRR: 0.087	Hits@10: 0.137	Hits@5: 0.114	Hits@1: 0.053
2021-05-04 11:44:02,158 - Epoch: 19000	MRR: 0.088	Hits@10: 0.137	Hits@5: 0.110	Hits@1: 0.052
2021-05-04 11:57:24,391 - Epoch: 20000	MRR: 0.088	Hits@10: 0.138	Hits@5: 0.116	Hits@1: 0.051
2021-05-04 12:13:02,251 - Epoch: 21000	MRR: 0.085	Hits@10: 0.140	Hits@5: 0.107	Hits@1: 0.046
2021-05-04 12:28:19,748 - Epoch: 22000	MRR: 0.086	Hits@10: 0.145	Hits@5: 0.120	Hits@1: 0.046
2021-05-04 12:43:56,783 - Epoch: 23000	MRR: 0.087	Hits@10: 0.143	Hits@5: 0.115	Hits@1: 0.048
2021-05-04 12:59:09,562 - Epoch: 24000	MRR: 0.092	Hits@10: 0.138	Hits@5: 0.116	Hits@1: 0.058
2021-05-04 13:12:50,185 - Epoch: 25000	MRR: 0.090	Hits@10: 0.150	Hits@5: 0.115	Hits@1: 0.053
2021-05-04 13:29:04,963 - Epoch: 26000	MRR: 0.084	Hits@10: 0.132	Hits@5: 0.105	Hits@1: 0.049
2021-05-04 13:45:17,297 - Epoch: 27000	MRR: 0.086	Hits@10: 0.134	Hits@5: 0.110	Hits@1: 0.052
2021-05-04 13:58:29,168 - Epoch: 28000	MRR: 0.083	Hits@10: 0.143	Hits@5: 0.116	Hits@1: 0.042
2021-05-04 14:11:36,985 - Epoch: 29000	MRR: 0.085	Hits@10: 0.134	Hits@5: 0.117	Hits@1: 0.046
2021-05-04 14:24:53,452 - Epoch: 30000	MRR: 0.086	Hits@10: 0.138	Hits@5: 0.115	Hits@1: 0.048
2021-05-04 14:39:05,328 - Epoch: 31000	MRR: 0.084	Hits@10: 0.133	Hits@5: 0.105	Hits@1: 0.048
2021-05-04 14:55:12,692 - Epoch: 32000	MRR: 0.086	Hits@10: 0.142	Hits@5: 0.116	Hits@1: 0.046
2021-05-04 15:10:11,714 - Epoch: 33000	MRR: 0.082	Hits@10: 0.131	Hits@5: 0.106	Hits@1: 0.047
2021-05-04 15:26:15,166 - Epoch: 34000	MRR: 0.076	Hits@10: 0.127	Hits@5: 0.105	Hits@1: 0.039
2021-05-04 15:42:14,579 - Epoch: 35000	MRR: 0.083	Hits@10: 0.132	Hits@5: 0.112	Hits@1: 0.046
2021-05-04 15:57:45,121 - Epoch: 36000	MRR: 0.084	Hits@10: 0.136	Hits@5: 0.109	Hits@1: 0.050
2021-05-04 16:11:47,830 - Epoch: 37000	MRR: 0.081	Hits@10: 0.130	Hits@5: 0.111	Hits@1: 0.044
2021-05-04 16:25:04,932 - Epoch: 38000	MRR: 0.084	Hits@10: 0.135	Hits@5: 0.113	Hits@1: 0.046
2021-05-04 16:38:19,863 - Epoch: 39000	MRR: 0.091	Hits@10: 0.145	Hits@5: 0.121	Hits@1: 0.053
2021-05-04 16:51:56,699 - Epoch: 40000	MRR: 0.086	Hits@10: 0.141	Hits@5: 0.119	Hits@1: 0.046
2021-05-04 17:06:03,264 - Epoch: 41000	MRR: 0.082	Hits@10: 0.133	Hits@5: 0.103	Hits@1: 0.048
2021-05-04 17:20:16,207 - Epoch: 42000	MRR: 0.082	Hits@10: 0.139	Hits@5: 0.115	Hits@1: 0.041
2021-05-04 17:34:58,434 - Epoch: 43000	MRR: 0.082	Hits@10: 0.134	Hits@5: 0.111	Hits@1: 0.043
2021-05-04 17:49:16,075 - Epoch: 44000	MRR: 0.081	Hits@10: 0.136	Hits@5: 0.109	Hits@1: 0.044
2021-05-04 18:03:35,266 - Epoch: 45000	MRR: 0.081	Hits@10: 0.135	Hits@5: 0.108	Hits@1: 0.041
2021-05-04 18:17:53,540 - Epoch: 46000	MRR: 0.083	Hits@10: 0.136	Hits@5: 0.106	Hits@1: 0.048
2021-05-04 18:32:08,316 - Epoch: 47000	MRR: 0.085	Hits@10: 0.140	Hits@5: 0.111	Hits@1: 0.046
2021-05-04 18:46:28,506 - Epoch: 48000	MRR: 0.082	Hits@10: 0.135	Hits@5: 0.105	Hits@1: 0.045
2021-05-04 19:00:45,499 - Epoch: 49000	MRR: 0.083	Hits@10: 0.134	Hits@5: 0.111	Hits@1: 0.047
2021-05-04 19:12:56,554 - Epoch: 50000	MRR: 0.082	Hits@10: 0.137	Hits@5: 0.111	Hits@1: 0.045
2021-05-04 19:23:57,648 - Epoch: 51000	MRR: 0.086	Hits@10: 0.142	Hits@5: 0.118	Hits@1: 0.048
2021-05-04 19:34:40,584 - Epoch: 52000	MRR: 0.090	Hits@10: 0.137	Hits@5: 0.118	Hits@1: 0.055
2021-05-04 19:44:53,631 - Epoch: 53000	MRR: 0.090	Hits@10: 0.135	Hits@5: 0.120	Hits@1: 0.054
2021-05-04 19:55:06,796 - Epoch: 54000	MRR: 0.085	Hits@10: 0.135	Hits@5: 0.115	Hits@1: 0.050
2021-05-04 19:55:08,088 - Reload state_dict from state/RotatE3000_30shot_400emb/state_dict
2021-05-04 19:55:08,833 - Epoch: None	MRR: 0.251	Hits@10: 0.453	Hits@5: 0.383	Hits@1: 0.112
2021-05-05 10:14:09,246 - Epoch: 1000	MRR: 0.041	Hits@10: 0.084	Hits@5: 0.062	Hits@1: 0.009
2021-05-05 10:30:40,238 - Epoch: 2000	MRR: 0.062	Hits@10: 0.118	Hits@5: 0.084	Hits@1: 0.031
2021-05-05 10:48:00,225 - Epoch: 3000	MRR: 0.080	Hits@10: 0.133	Hits@5: 0.096	Hits@1: 0.048
2021-05-05 11:04:54,388 - Epoch: 4000	MRR: 0.078	Hits@10: 0.129	Hits@5: 0.091	Hits@1: 0.048
2021-05-05 11:20:45,492 - Epoch: 5000	MRR: 0.085	Hits@10: 0.135	Hits@5: 0.102	Hits@1: 0.056
2021-05-05 11:37:59,089 - Epoch: 6000	MRR: 0.084	Hits@10: 0.136	Hits@5: 0.101	Hits@1: 0.053
2021-05-05 11:53:41,040 - Epoch: 7000	MRR: 0.083	Hits@10: 0.138	Hits@5: 0.108	Hits@1: 0.049
2021-05-05 12:10:13,083 - Epoch: 8000	MRR: 0.083	Hits@10: 0.134	Hits@5: 0.099	Hits@1: 0.050
2021-05-05 12:26:27,726 - Epoch: 9000	MRR: 0.086	Hits@10: 0.143	Hits@5: 0.110	Hits@1: 0.053
2021-05-05 12:42:23,517 - Epoch: 10000	MRR: 0.087	Hits@10: 0.136	Hits@5: 0.114	Hits@1: 0.051
2021-05-05 12:59:59,371 - Epoch: 11000	MRR: 0.085	Hits@10: 0.136	Hits@5: 0.110	Hits@1: 0.050
2021-05-05 13:16:40,436 - Epoch: 12000	MRR: 0.083	Hits@10: 0.138	Hits@5: 0.110	Hits@1: 0.049
2021-05-05 13:33:43,571 - Epoch: 13000	MRR: 0.090	Hits@10: 0.144	Hits@5: 0.116	Hits@1: 0.055
2021-05-05 13:51:06,155 - Epoch: 14000	MRR: 0.091	Hits@10: 0.146	Hits@5: 0.119	Hits@1: 0.053
2021-05-05 14:12:19,519 - Epoch: 15000	MRR: 0.089	Hits@10: 0.145	Hits@5: 0.116	Hits@1: 0.050
2021-05-05 14:28:09,783 - Epoch: 16000	MRR: 0.082	Hits@10: 0.136	Hits@5: 0.107	Hits@1: 0.047
2021-05-05 14:44:06,297 - Epoch: 17000	MRR: 0.086	Hits@10: 0.143	Hits@5: 0.119	Hits@1: 0.046
2021-05-05 14:59:41,345 - Epoch: 18000	MRR: 0.088	Hits@10: 0.141	Hits@5: 0.112	Hits@1: 0.052
2021-05-05 15:20:28,698 - Epoch: 19000	MRR: 0.083	Hits@10: 0.135	Hits@5: 0.107	Hits@1: 0.048
2021-05-05 15:35:59,693 - Epoch: 20000	MRR: 0.085	Hits@10: 0.143	Hits@5: 0.107	Hits@1: 0.048
2021-05-05 15:53:01,486 - Epoch: 21000	MRR: 0.082	Hits@10: 0.133	Hits@5: 0.104	Hits@1: 0.047
2021-05-05 16:09:16,152 - Epoch: 22000	MRR: 0.082	Hits@10: 0.137	Hits@5: 0.105	Hits@1: 0.045
2021-05-05 16:25:56,105 - Epoch: 23000	MRR: 0.083	Hits@10: 0.134	Hits@5: 0.109	Hits@1: 0.049
2021-05-05 16:42:49,910 - Epoch: 24000	MRR: 0.081	Hits@10: 0.133	Hits@5: 0.107	Hits@1: 0.047
2021-05-05 17:03:11,226 - Epoch: 25000	MRR: 0.088	Hits@10: 0.144	Hits@5: 0.115	Hits@1: 0.051
2021-05-05 17:19:25,692 - Epoch: 26000	MRR: 0.087	Hits@10: 0.141	Hits@5: 0.118	Hits@1: 0.052
2021-05-05 17:35:32,843 - Epoch: 27000	MRR: 0.083	Hits@10: 0.133	Hits@5: 0.112	Hits@1: 0.049
2021-05-05 17:51:35,630 - Epoch: 28000	MRR: 0.086	Hits@10: 0.140	Hits@5: 0.112	Hits@1: 0.052
2021-05-05 18:08:01,729 - Epoch: 29000	MRR: 0.082	Hits@10: 0.135	Hits@5: 0.109	Hits@1: 0.048
2021-05-05 18:24:04,387 - Epoch: 30000	MRR: 0.079	Hits@10: 0.132	Hits@5: 0.100	Hits@1: 0.043
2021-05-05 18:39:56,309 - Epoch: 31000	MRR: 0.077	Hits@10: 0.132	Hits@5: 0.101	Hits@1: 0.041
2021-05-05 18:56:15,145 - Epoch: 32000	MRR: 0.080	Hits@10: 0.128	Hits@5: 0.104	Hits@1: 0.044
2021-05-05 19:12:37,980 - Epoch: 33000	MRR: 0.079	Hits@10: 0.126	Hits@5: 0.104	Hits@1: 0.045
2021-05-05 19:30:04,874 - Epoch: 34000	MRR: 0.076	Hits@10: 0.121	Hits@5: 0.102	Hits@1: 0.040
2021-05-05 19:47:42,629 - Epoch: 35000	MRR: 0.079	Hits@10: 0.128	Hits@5: 0.102	Hits@1: 0.046
2021-05-05 20:03:51,742 - Epoch: 36000	MRR: 0.079	Hits@10: 0.128	Hits@5: 0.102	Hits@1: 0.043
2021-05-05 20:20:13,210 - Epoch: 37000	MRR: 0.077	Hits@10: 0.128	Hits@5: 0.103	Hits@1: 0.043
2021-05-05 20:36:23,618 - Epoch: 38000	MRR: 0.078	Hits@10: 0.125	Hits@5: 0.103	Hits@1: 0.045
2021-05-05 20:52:48,527 - Epoch: 39000	MRR: 0.081	Hits@10: 0.130	Hits@5: 0.102	Hits@1: 0.047
