2020-11-23 10:07:55,964 - Epoch: 1000	MRR: 0.028	Hits@10: 0.071	Hits@5: 0.054	Hits@1: 0.006
2020-11-23 10:20:48,772 - Epoch: 2000	MRR: 0.055	Hits@10: 0.099	Hits@5: 0.071	Hits@1: 0.025
2020-11-23 10:43:20,878 - Epoch: 3000	MRR: 0.069	Hits@10: 0.128	Hits@5: 0.099	Hits@1: 0.032
2020-11-23 11:09:49,421 - Epoch: 4000	MRR: 0.081	Hits@10: 0.143	Hits@5: 0.098	Hits@1: 0.048
2020-11-23 11:36:57,276 - Epoch: 5000	MRR: 0.082	Hits@10: 0.141	Hits@5: 0.101	Hits@1: 0.049
2020-11-23 12:03:13,873 - Epoch: 6000	MRR: 0.087	Hits@10: 0.149	Hits@5: 0.116	Hits@1: 0.050
2020-11-23 12:29:50,243 - Epoch: 7000	MRR: 0.088	Hits@10: 0.160	Hits@5: 0.118	Hits@1: 0.048
2020-11-23 12:54:30,005 - Epoch: 8000	MRR: 0.085	Hits@10: 0.154	Hits@5: 0.111	Hits@1: 0.047
2020-11-23 13:20:08,257 - Epoch: 9000	MRR: 0.095	Hits@10: 0.174	Hits@5: 0.126	Hits@1: 0.051
2020-11-23 13:45:49,304 - Epoch: 10000	MRR: 0.088	Hits@10: 0.159	Hits@5: 0.120	Hits@1: 0.047
2020-11-23 14:10:54,111 - Epoch: 11000	MRR: 0.090	Hits@10: 0.168	Hits@5: 0.120	Hits@1: 0.048
2020-11-23 14:34:57,328 - Epoch: 12000	MRR: 0.090	Hits@10: 0.176	Hits@5: 0.125	Hits@1: 0.046
2020-11-23 15:00:34,559 - Epoch: 13000	MRR: 0.089	Hits@10: 0.165	Hits@5: 0.133	Hits@1: 0.046
2020-11-23 15:26:02,883 - Epoch: 14000	MRR: 0.093	Hits@10: 0.175	Hits@5: 0.129	Hits@1: 0.048
2020-11-23 15:51:22,828 - Epoch: 15000	MRR: 0.090	Hits@10: 0.174	Hits@5: 0.134	Hits@1: 0.044
2020-11-23 16:10:21,745 - Epoch: 16000	MRR: 0.100	Hits@10: 0.174	Hits@5: 0.139	Hits@1: 0.054
2020-11-23 16:23:12,291 - Epoch: 17000	MRR: 0.092	Hits@10: 0.176	Hits@5: 0.129	Hits@1: 0.048
2020-11-23 16:36:09,356 - Epoch: 18000	MRR: 0.094	Hits@10: 0.170	Hits@5: 0.136	Hits@1: 0.049
2020-11-23 16:57:03,845 - Epoch: 19000	MRR: 0.099	Hits@10: 0.167	Hits@5: 0.139	Hits@1: 0.056
2020-11-23 17:18:21,450 - Epoch: 20000	MRR: 0.095	Hits@10: 0.172	Hits@5: 0.134	Hits@1: 0.053
2020-11-23 17:40:16,307 - Epoch: 21000	MRR: 0.092	Hits@10: 0.170	Hits@5: 0.132	Hits@1: 0.046
2020-11-23 18:01:53,933 - Epoch: 22000	MRR: 0.087	Hits@10: 0.167	Hits@5: 0.127	Hits@1: 0.043
2020-11-23 18:23:20,174 - Epoch: 23000	MRR: 0.095	Hits@10: 0.178	Hits@5: 0.134	Hits@1: 0.049
2020-11-23 18:45:00,168 - Epoch: 24000	MRR: 0.096	Hits@10: 0.167	Hits@5: 0.140	Hits@1: 0.051
2020-11-23 19:06:56,469 - Epoch: 25000	MRR: 0.094	Hits@10: 0.171	Hits@5: 0.134	Hits@1: 0.051
2020-11-23 19:28:21,564 - Epoch: 26000	MRR: 0.098	Hits@10: 0.172	Hits@5: 0.139	Hits@1: 0.053
2020-11-23 19:49:42,028 - Epoch: 27000	MRR: 0.092	Hits@10: 0.167	Hits@5: 0.129	Hits@1: 0.049
2020-11-23 20:11:35,761 - Epoch: 28000	MRR: 0.091	Hits@10: 0.163	Hits@5: 0.129	Hits@1: 0.049
2020-11-23 20:33:31,817 - Epoch: 29000	MRR: 0.089	Hits@10: 0.165	Hits@5: 0.130	Hits@1: 0.044
2020-11-23 20:54:59,271 - Epoch: 30000	MRR: 0.090	Hits@10: 0.169	Hits@5: 0.127	Hits@1: 0.045
2020-11-23 21:16:29,157 - Epoch: 31000	MRR: 0.090	Hits@10: 0.170	Hits@5: 0.128	Hits@1: 0.044
2020-11-23 21:38:27,337 - Epoch: 32000	MRR: 0.093	Hits@10: 0.167	Hits@5: 0.131	Hits@1: 0.047
2020-11-23 22:00:21,599 - Epoch: 33000	MRR: 0.089	Hits@10: 0.163	Hits@5: 0.126	Hits@1: 0.046
2020-11-23 22:21:48,687 - Epoch: 34000	MRR: 0.093	Hits@10: 0.173	Hits@5: 0.133	Hits@1: 0.047
2020-11-23 22:43:29,263 - Epoch: 35000	MRR: 0.094	Hits@10: 0.181	Hits@5: 0.140	Hits@1: 0.047
2020-11-23 23:05:29,099 - Epoch: 36000	MRR: 0.094	Hits@10: 0.172	Hits@5: 0.134	Hits@1: 0.048
2020-11-23 23:27:19,287 - Epoch: 37000	MRR: 0.096	Hits@10: 0.178	Hits@5: 0.140	Hits@1: 0.046
2020-11-23 23:48:41,487 - Epoch: 38000	MRR: 0.096	Hits@10: 0.176	Hits@5: 0.135	Hits@1: 0.048
2020-11-24 00:10:36,778 - Epoch: 39000	MRR: 0.093	Hits@10: 0.174	Hits@5: 0.134	Hits@1: 0.046
2020-11-24 00:32:41,702 - Epoch: 40000	MRR: 0.094	Hits@10: 0.169	Hits@5: 0.136	Hits@1: 0.046
2020-11-24 00:54:26,422 - Epoch: 41000	MRR: 0.094	Hits@10: 0.174	Hits@5: 0.139	Hits@1: 0.044
2020-11-24 01:15:57,687 - Epoch: 42000	MRR: 0.095	Hits@10: 0.174	Hits@5: 0.138	Hits@1: 0.046
2020-11-24 01:37:56,783 - Epoch: 43000	MRR: 0.091	Hits@10: 0.170	Hits@5: 0.139	Hits@1: 0.043
2020-11-24 01:59:21,943 - Epoch: 44000	MRR: 0.098	Hits@10: 0.171	Hits@5: 0.136	Hits@1: 0.052
2020-11-24 02:20:14,934 - Epoch: 45000	MRR: 0.091	Hits@10: 0.171	Hits@5: 0.138	Hits@1: 0.044
2020-11-24 02:41:01,936 - Epoch: 46000	MRR: 0.093	Hits@10: 0.181	Hits@5: 0.137	Hits@1: 0.044
2020-11-24 02:41:02,887 - Reload state_dict from state/TransR15000_30shot/state_dict
2020-11-24 02:41:04,245 - Epoch: None	MRR: 0.295	Hits@10: 0.466	Hits@5: 0.402	Hits@1: 0.185
