2020-12-22 10:00:27,298 - Epoch: 1000	MRR: 0.030	Hits@10: 0.082	Hits@5: 0.049	Hits@1: 0.006
2020-12-22 10:12:05,228 - Epoch: 2000	MRR: 0.065	Hits@10: 0.107	Hits@5: 0.082	Hits@1: 0.035
2020-12-22 10:23:52,687 - Epoch: 3000	MRR: 0.072	Hits@10: 0.120	Hits@5: 0.084	Hits@1: 0.040
2020-12-22 10:36:58,932 - Epoch: 4000	MRR: 0.078	Hits@10: 0.147	Hits@5: 0.107	Hits@1: 0.038
2020-12-22 10:50:27,402 - Epoch: 5000	MRR: 0.079	Hits@10: 0.151	Hits@5: 0.104	Hits@1: 0.040
2020-12-22 11:03:51,409 - Epoch: 6000	MRR: 0.083	Hits@10: 0.147	Hits@5: 0.106	Hits@1: 0.049
2020-12-22 11:17:10,270 - Epoch: 7000	MRR: 0.085	Hits@10: 0.139	Hits@5: 0.109	Hits@1: 0.051
2020-12-22 11:30:28,359 - Epoch: 8000	MRR: 0.092	Hits@10: 0.155	Hits@5: 0.123	Hits@1: 0.054
2020-12-22 11:43:50,620 - Epoch: 9000	MRR: 0.090	Hits@10: 0.155	Hits@5: 0.118	Hits@1: 0.051
2020-12-22 11:57:08,187 - Epoch: 10000	MRR: 0.085	Hits@10: 0.163	Hits@5: 0.117	Hits@1: 0.043
2020-12-22 12:10:08,900 - Epoch: 11000	MRR: 0.090	Hits@10: 0.153	Hits@5: 0.120	Hits@1: 0.052
2020-12-22 12:23:21,840 - Epoch: 12000	MRR: 0.090	Hits@10: 0.152	Hits@5: 0.116	Hits@1: 0.052
2020-12-22 12:36:37,243 - Epoch: 13000	MRR: 0.092	Hits@10: 0.152	Hits@5: 0.115	Hits@1: 0.056
2020-12-22 12:49:32,476 - Epoch: 14000	MRR: 0.093	Hits@10: 0.156	Hits@5: 0.116	Hits@1: 0.057
2020-12-22 13:01:00,551 - Epoch: 15000	MRR: 0.092	Hits@10: 0.156	Hits@5: 0.114	Hits@1: 0.056
