2021-06-01 14:22:14,472 - Epoch: 1000	MRR: 0.249	Hits@10: 0.271	Hits@5: 0.262	Hits@1: 0.233
2021-06-01 14:24:42,262 - Epoch: 2000	MRR: 0.278	Hits@10: 0.309	Hits@5: 0.307	Hits@1: 0.249
2021-06-01 14:27:10,961 - Epoch: 3000	MRR: 0.292	Hits@10: 0.324	Hits@5: 0.321	Hits@1: 0.264
2021-06-01 14:29:37,340 - Epoch: 4000	MRR: 0.289	Hits@10: 0.321	Hits@5: 0.315	Hits@1: 0.264
2021-06-01 14:32:00,794 - Epoch: 5000	MRR: 0.301	Hits@10: 0.326	Hits@5: 0.321	Hits@1: 0.281
2021-06-01 14:34:29,667 - Epoch: 6000	MRR: 0.304	Hits@10: 0.341	Hits@5: 0.329	Hits@1: 0.281
2021-06-01 14:36:56,796 - Epoch: 7000	MRR: 0.306	Hits@10: 0.345	Hits@5: 0.332	Hits@1: 0.282
2021-06-01 14:39:24,515 - Epoch: 8000	MRR: 0.310	Hits@10: 0.349	Hits@5: 0.335	Hits@1: 0.286
2021-06-01 14:41:52,512 - Epoch: 9000	MRR: 0.309	Hits@10: 0.348	Hits@5: 0.333	Hits@1: 0.286
2021-06-01 14:44:15,881 - Epoch: 10000	MRR: 0.306	Hits@10: 0.326	Hits@5: 0.323	Hits@1: 0.287
2021-06-01 14:46:39,555 - Epoch: 11000	MRR: 0.303	Hits@10: 0.324	Hits@5: 0.321	Hits@1: 0.284
2021-06-01 14:49:03,249 - Epoch: 12000	MRR: 0.301	Hits@10: 0.324	Hits@5: 0.319	Hits@1: 0.281
2021-06-01 14:51:26,189 - Epoch: 13000	MRR: 0.311	Hits@10: 0.351	Hits@5: 0.338	Hits@1: 0.285
2021-06-01 14:53:53,809 - Epoch: 14000	MRR: 0.304	Hits@10: 0.329	Hits@5: 0.323	Hits@1: 0.283
2021-06-01 14:56:16,540 - Epoch: 15000	MRR: 0.312	Hits@10: 0.354	Hits@5: 0.340	Hits@1: 0.286
2021-06-01 14:58:44,795 - Epoch: 16000	MRR: 0.300	Hits@10: 0.329	Hits@5: 0.320	Hits@1: 0.278
2021-06-01 15:01:08,301 - Epoch: 17000	MRR: 0.307	Hits@10: 0.328	Hits@5: 0.321	Hits@1: 0.289
