2020-11-29 19:35:58,324 - Epoch: 1000	MRR: 0.019	Hits@10: 0.061	Hits@5: 0.013	Hits@1: 0.004
2020-11-29 19:45:11,129 - Epoch: 2000	MRR: 0.041	Hits@10: 0.070	Hits@5: 0.053	Hits@1: 0.018
2020-11-29 19:54:23,555 - Epoch: 3000	MRR: 0.058	Hits@10: 0.096	Hits@5: 0.071	Hits@1: 0.032
2020-11-29 20:03:16,626 - Epoch: 4000	MRR: 0.061	Hits@10: 0.104	Hits@5: 0.083	Hits@1: 0.029
2020-11-29 20:12:07,846 - Epoch: 5000	MRR: 0.071	Hits@10: 0.116	Hits@5: 0.085	Hits@1: 0.040
2020-11-29 20:21:04,567 - Epoch: 6000	MRR: 0.068	Hits@10: 0.122	Hits@5: 0.091	Hits@1: 0.034
2020-11-29 20:30:14,146 - Epoch: 7000	MRR: 0.079	Hits@10: 0.130	Hits@5: 0.094	Hits@1: 0.049
2020-11-29 20:39:13,243 - Epoch: 8000	MRR: 0.078	Hits@10: 0.140	Hits@5: 0.101	Hits@1: 0.043
2020-11-29 20:48:03,827 - Epoch: 9000	MRR: 0.076	Hits@10: 0.139	Hits@5: 0.109	Hits@1: 0.037
2020-11-29 20:56:53,406 - Epoch: 10000	MRR: 0.089	Hits@10: 0.143	Hits@5: 0.117	Hits@1: 0.051
2020-11-29 21:05:57,974 - Epoch: 11000	MRR: 0.088	Hits@10: 0.150	Hits@5: 0.114	Hits@1: 0.051
2020-11-29 21:15:07,000 - Epoch: 12000	MRR: 0.090	Hits@10: 0.145	Hits@5: 0.116	Hits@1: 0.052
2020-11-29 21:24:06,823 - Epoch: 13000	MRR: 0.090	Hits@10: 0.149	Hits@5: 0.113	Hits@1: 0.052
2020-11-29 21:33:00,183 - Epoch: 14000	MRR: 0.087	Hits@10: 0.147	Hits@5: 0.115	Hits@1: 0.048
2020-11-29 21:41:52,950 - Epoch: 15000	MRR: 0.090	Hits@10: 0.155	Hits@5: 0.121	Hits@1: 0.049
2020-11-29 21:50:59,391 - Epoch: 16000	MRR: 0.090	Hits@10: 0.144	Hits@5: 0.117	Hits@1: 0.053
2020-11-29 22:00:10,752 - Epoch: 17000	MRR: 0.089	Hits@10: 0.151	Hits@5: 0.119	Hits@1: 0.052
2020-11-29 22:09:01,722 - Epoch: 18000	MRR: 0.086	Hits@10: 0.143	Hits@5: 0.115	Hits@1: 0.048
2020-11-29 22:17:52,737 - Epoch: 19000	MRR: 0.088	Hits@10: 0.161	Hits@5: 0.123	Hits@1: 0.048
2020-11-29 22:26:50,759 - Epoch: 20000	MRR: 0.084	Hits@10: 0.144	Hits@5: 0.114	Hits@1: 0.044
2020-11-29 22:36:00,280 - Epoch: 21000	MRR: 0.091	Hits@10: 0.143	Hits@5: 0.114	Hits@1: 0.055
2020-11-29 22:45:03,889 - Epoch: 22000	MRR: 0.089	Hits@10: 0.146	Hits@5: 0.123	Hits@1: 0.049
2020-11-29 22:54:00,314 - Epoch: 23000	MRR: 0.086	Hits@10: 0.141	Hits@5: 0.113	Hits@1: 0.048
2020-11-29 23:02:48,629 - Epoch: 24000	MRR: 0.089	Hits@10: 0.150	Hits@5: 0.120	Hits@1: 0.050
2020-11-29 23:11:46,659 - Epoch: 25000	MRR: 0.086	Hits@10: 0.148	Hits@5: 0.118	Hits@1: 0.048
2020-11-29 23:20:52,957 - Epoch: 26000	MRR: 0.087	Hits@10: 0.145	Hits@5: 0.118	Hits@1: 0.048
2020-11-29 23:29:56,467 - Epoch: 27000	MRR: 0.088	Hits@10: 0.151	Hits@5: 0.125	Hits@1: 0.046
2020-11-29 23:38:52,947 - Epoch: 28000	MRR: 0.096	Hits@10: 0.153	Hits@5: 0.129	Hits@1: 0.055
2020-11-29 23:47:44,874 - Epoch: 29000	MRR: 0.089	Hits@10: 0.149	Hits@5: 0.120	Hits@1: 0.049
2020-11-29 23:56:46,087 - Epoch: 30000	MRR: 0.094	Hits@10: 0.150	Hits@5: 0.128	Hits@1: 0.053
2020-11-30 00:05:51,568 - Epoch: 31000	MRR: 0.088	Hits@10: 0.147	Hits@5: 0.123	Hits@1: 0.048
2020-11-30 00:14:46,947 - Epoch: 32000	MRR: 0.094	Hits@10: 0.160	Hits@5: 0.127	Hits@1: 0.053
2020-11-30 00:23:43,892 - Epoch: 33000	MRR: 0.092	Hits@10: 0.151	Hits@5: 0.118	Hits@1: 0.053
2020-11-30 00:32:37,625 - Epoch: 34000	MRR: 0.086	Hits@10: 0.144	Hits@5: 0.118	Hits@1: 0.047
2020-11-30 00:41:44,665 - Epoch: 35000	MRR: 0.086	Hits@10: 0.146	Hits@5: 0.119	Hits@1: 0.047
2020-11-30 00:50:51,254 - Epoch: 36000	MRR: 0.087	Hits@10: 0.153	Hits@5: 0.124	Hits@1: 0.045
2020-11-30 00:59:44,151 - Epoch: 37000	MRR: 0.088	Hits@10: 0.152	Hits@5: 0.125	Hits@1: 0.048
2020-11-30 01:08:38,340 - Epoch: 38000	MRR: 0.085	Hits@10: 0.153	Hits@5: 0.122	Hits@1: 0.045
2020-11-30 01:17:32,885 - Epoch: 39000	MRR: 0.088	Hits@10: 0.153	Hits@5: 0.121	Hits@1: 0.048
2020-11-30 01:26:39,277 - Epoch: 40000	MRR: 0.083	Hits@10: 0.154	Hits@5: 0.122	Hits@1: 0.039
2020-11-30 01:35:43,883 - Epoch: 41000	MRR: 0.087	Hits@10: 0.155	Hits@5: 0.118	Hits@1: 0.047
2020-11-30 01:44:35,280 - Epoch: 42000	MRR: 0.093	Hits@10: 0.159	Hits@5: 0.131	Hits@1: 0.052
2020-11-30 01:53:23,538 - Epoch: 43000	MRR: 0.088	Hits@10: 0.154	Hits@5: 0.119	Hits@1: 0.047
2020-11-30 02:02:20,329 - Epoch: 44000	MRR: 0.085	Hits@10: 0.151	Hits@5: 0.121	Hits@1: 0.044
2020-11-30 02:11:32,211 - Epoch: 45000	MRR: 0.089	Hits@10: 0.155	Hits@5: 0.124	Hits@1: 0.048
2020-11-30 02:20:31,943 - Epoch: 46000	MRR: 0.089	Hits@10: 0.149	Hits@5: 0.122	Hits@1: 0.050
